test_name,solver,graph_set,graph_idx,graph_order_min,graph_order_max,graph_order_avg,graph_order_med,graph_density_min,graph_density_max,graph_density_avg,graph_density_med,exec_time_min,exec_time_max,exec_time_avg,exec_time_med,colors_min,colors_max,colors_avg,colors_med
"Generic test","greedy","tests/input/50_50n_10d.gsm",0,50,50,50.0,50,0.0996,0.0996,0.0996,0.0996,0.1175,0.3458,0.1612,0.1499,4.0,6.0,5.06,5.0
"Generic test","greedy","tests/input/50_50n_30d.gsm",0,50,50,50.0,50,0.3004,0.3004,0.3004,0.3004,0.1852,0.4357,0.2314,0.2281,7.0,10.0,8.96,9.0
"Generic test","greedy","tests/input/50_50n_50d.gsm",0,50,50,50.0,50,0.4996,0.4996,0.4996,0.4996,0.2482,0.4065,0.3042,0.3005,11.0,15.0,12.82,13.0
"Generic test","greedy","tests/input/50_50n_70d.gsm",0,50,50,50.0,50,0.7004,0.7004,0.7004,0.7004,0.3324,0.5288,0.3858,0.3822,16.0,20.0,17.84,18.0
"Generic test","greedy","tests/input/50_50n_90d.gsm",0,50,50,50.0,50,0.8996,0.8996,0.8996,0.8996,0.4198,0.5994,0.4836,0.4738,24.0,29.0,26.54,27.0
"Generic test","greedy","tests/input/50_100n_10d.gsm",0,100,100,100.0,100,0.1,0.1,0.1,0.1,0.2917,0.5424,0.3607,0.3591,6.0,8.0,7.34,7.0
"Generic test","greedy","tests/input/50_100n_30d.gsm",0,100,100,100.0,100,0.3,0.3,0.3,0.3,0.4554,0.8452,0.6524,0.6483,13.0,16.0,14.26,14.0
"Generic test","greedy","tests/input/50_100n_50d.gsm",0,100,100,100.0,100,0.5,0.5,0.5,0.5,0.5282,1.3929,0.9339,0.9572,19.0,23.0,21.1,21.0
"Generic test","greedy","tests/input/50_100n_70d.gsm",0,100,100,100.0,100,0.7,0.7,0.7,0.7,0.7061,29.1154,3.1349,1.2119,27.0,32.0,30.14,30.0
"Generic test","greedy","tests/input/50_100n_90d.gsm",0,100,100,100.0,100,0.9,0.9,0.9,0.9,0.8558,2.511,1.4886,1.5687,42.0,50.0,46.5,46.0
"Generic test","greedy","tests/input/50_150n_10d.gsm",0,150,150,150.0,150,0.1,0.1,0.1,0.1,0.5431,0.8563,0.6462,0.6319,8.0,10.0,9.22,9.0
"Generic test","greedy","tests/input/50_150n_30d.gsm",0,150,150,150.0,150,0.3,0.3,0.3,0.3,0.6862,2.3297,1.2714,1.2843,17.0,20.0,18.56,19.0
"Generic test","greedy","tests/input/50_150n_50d.gsm",0,150,150,150.0,150,0.5,0.5,0.5,0.5,1.0549,2.7564,1.7398,1.8956,27.0,30.0,28.82,29.0
"Generic test","greedy","tests/input/50_150n_70d.gsm",0,150,150,150.0,150,0.7,0.7,0.7,0.7,1.4507,3.5407,2.3804,2.4686,39.0,45.0,41.9,42.0
"Generic test","greedy","tests/input/50_150n_90d.gsm",0,150,150,150.0,150,0.9,0.9,0.9,0.9,1.7364,3.9093,2.6802,2.8686,61.0,69.0,65.0,65.0
"Generic test","greedy_max","tests/input/50_50n_10d.gsm",0,50,50,50.0,50,0.0996,0.0996,0.0996,0.0996,3.7024,10.949,4.5721,4.2738,4.0,4.0,4.0,4.0
"Generic test","greedy_max","tests/input/50_50n_30d.gsm",0,50,50,50.0,50,0.3004,0.3004,0.3004,0.3004,4.8061,9.8151,5.7652,5.4785,7.0,10.0,8.24,8.0
"Generic test","greedy_max","tests/input/50_50n_50d.gsm",0,50,50,50.0,50,0.4996,0.4996,0.4996,0.4996,4.4828,18.5759,7.395,6.8128,11.0,14.0,12.14,12.0
"Generic test","greedy_max","tests/input/50_50n_70d.gsm",0,50,50,50.0,50,0.7004,0.7004,0.7004,0.7004,5.0969,11.3181,7.6822,7.645,15.0,19.0,17.02,17.0
"Generic test","greedy_max","tests/input/50_50n_90d.gsm",0,50,50,50.0,50,0.8996,0.8996,0.8996,0.8996,8.0294,32.6043,9.8351,8.9903,22.0,28.0,25.46,25.0
"Generic test","greedy_max","tests/input/50_100n_10d.gsm",0,100,100,100.0,100,0.1,0.1,0.1,0.1,13.4611,27.3146,16.3457,15.4282,6.0,7.0,6.4,6.0
"Generic test","greedy_max","tests/input/50_100n_30d.gsm",0,100,100,100.0,100,0.3,0.3,0.3,0.3,13.7225,28.2492,20.2828,20.1702,12.0,14.0,13.08,13.0
"Generic test","greedy_max","tests/input/50_100n_50d.gsm",0,100,100,100.0,100,0.5,0.5,0.5,0.5,12.7583,29.852,24.3175,25.067,19.0,22.0,20.36,20.0
"Generic test","greedy_max","tests/input/50_100n_70d.gsm",0,100,100,100.0,100,0.7,0.7,0.7,0.7,26.1277,79.16,35.3807,30.9158,26.0,32.0,29.16,29.0
"Generic test","greedy_max","tests/input/50_100n_90d.gsm",0,100,100,100.0,100,0.9,0.9,0.9,0.9,26.0872,66.325,40.7709,34.7002,42.0,47.0,44.72,44.0
"Generic test","greedy_max","tests/input/50_150n_10d.gsm",0,150,150,150.0,150,0.1,0.1,0.1,0.1,23.6212,43.5023,32.2826,31.8579,7.0,9.0,8.26,8.0
"Generic test","greedy_max","tests/input/50_150n_30d.gsm",0,150,150,150.0,150,0.3,0.3,0.3,0.3,29.4882,66.5004,45.6804,44.0544,16.0,19.0,17.58,18.0
"Generic test","greedy_max","tests/input/50_150n_50d.gsm",0,150,150,150.0,150,0.5,0.5,0.5,0.5,37.3846,70.0654,55.2354,55.8515,26.0,29.0,27.34,27.0
"Generic test","greedy_max","tests/input/50_150n_70d.gsm",0,150,150,150.0,150,0.7,0.7,0.7,0.7,39.5915,103.7143,72.0278,64.7957,37.0,43.0,40.06,40.0
"Generic test","greedy_max","tests/input/50_150n_90d.gsm",0,150,150,150.0,150,0.9,0.9,0.9,0.9,57.7083,104.075,81.9234,82.3292,60.0,66.0,63.14,63.0
"Generic test","greedy_color_swaps","tests/input/50_50n_10d.gsm",0,50,50,50.0,50,0.0996,0.0996,0.0996,0.0996,3.7575,8.1279,5.7565,5.5765,3.0,4.0,3.98,4.0
"Generic test","greedy_color_swaps","tests/input/50_50n_30d.gsm",0,50,50,50.0,50,0.3004,0.3004,0.3004,0.3004,8.0993,15.5582,10.4832,10.2744,6.0,8.0,7.0,7.0
"Generic test","greedy_color_swaps","tests/input/50_50n_50d.gsm",0,50,50,50.0,50,0.4996,0.4996,0.4996,0.4996,10.6681,25.932,18.8427,18.9083,10.0,12.0,10.66,11.0
"Generic test","greedy_color_swaps","tests/input/50_50n_70d.gsm",0,50,50,50.0,50,0.7004,0.7004,0.7004,0.7004,21.1327,42.5854,33.0677,32.4123,14.0,16.0,14.92,15.0
"Generic test","greedy_color_swaps","tests/input/50_50n_90d.gsm",0,50,50,50.0,50,0.8996,0.8996,0.8996,0.8996,51.1378,98.3927,77.6112,77.7718,21.0,25.0,23.34,23.0
"Generic test","greedy_color_swaps","tests/input/50_100n_10d.gsm",0,100,100,100.0,100,0.1,0.1,0.1,0.1,13.0422,30.0772,22.3003,22.8568,5.0,6.0,5.48,5.0
